Verbs,Meaning
こぼす【零す】,to spill
だます【騙す】,"to trick, to cheat, to deceive"
しめす【示す】,"to denote, to show, to point out, to indicate"
ためす【試す】,"to attempt, to test"
しるす【記す】,"to note, to write down"
つるす【吊す】,to hang
ゆるす【許す】,"to permit, to allow, to approve, to forgive"
おろす【下す】,"to lower, to let go down"
おろす【卸す】,"to sell wholesale, grated (vegetables)"
ころす【殺す】,to kill
こわす【壊す】,to break
まわす【回す】,"to turn, to revolve"
そだつ【育つ】,"to raise (child), to be brought up, to grow (up)"
たもつ【保つ】,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure"
うかぶ【浮ぶ】,"to float, to rise to surface, to come to mind"
さけぶ【叫ぶ】,"to shout, to cry"
はこぶ【運ぶ】,to transport
むすぶ【結ぶ】,"to tie, to bind, to link"
あそぶ【遊ぶ】,"to play, to make a visit"
まなぶ【学ぶ】,"to study (in depth), to learn, to take lessons in"
およぶ【及ぶ】,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal"
えらぶ【選ぶ】,to choose
ならぶ【並ぶ】,"to line up, to stand in a line"
ころぶ【転ぶ】,"to fall down, to fall over"
つかむ【掴む】,"to seize, to catch, to grasp"
いがむ【歪む】,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant"
おがむ【拝む】,"to worship, to beg, to make a supplication"
ふくむ【含む】,"to hold in the mouth, to bear in mind"
めぐむ【恵む】,"to bless, to show mercy to"
はげむ【励む】,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort "
かこむ【囲む】,"to surround, to encircle"
へこむ【凹む】,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed"
かさむ【嵩む】,"to pile up, to increase"
にくむ【憎む】,"to hate, to detest"
はさむ【挟む】,"to interpose, to hold between, to insert"
きざむ【刻む】,"to mince, to carve, to engrave"
おしむ【惜しむ】,"to be frugal, to value, to regret"
きしむ【軋む】,"to jar, to creak, to grate"
にじむ【滲む】,"to run, to blur, to spread, to blot, to ooze"
かすむ【霞む】,"to grow hazy, to be misty"
すすむ【進む】,to make progress
ぬすむ【盗む】,to steal
やすむ【休む】,to rest
しずむ【沈む】,"to sink, to feel depressed"
すずむ【涼む】,"to cool oneself, to cool off, to enjoy evening cool"
はずむ【弾む】,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to"
のぞむ【望む】,"to desire, to wish for, to see, to command (a view of)"
のぞむ【臨む】,"to look out on, to face, to deal with, to attend (function)"
いたむ【痛む】,"to hurt, to feel a pain, to be injured"
たたむ【畳む】,to fold (clothes)
ねたむ【妬む】,"to be jealous, to be envious"
ちぢむ【縮む】,"to shrink, to be contracted"
つつむ【包む】,to wrap
いどむ【挑む】,"to challenge, to contend for, to make love to"
このむ【好む】,"to like, to prefer"
たのむ【頼む】,to ask (a favour)
はばむ【阻む】,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart "
しぼむ【萎む】,"to wither, to fade (away), to shrivel, to wilt"
つまむ【摘む】,"to pinch, to hold, to pick up"
なやむ【悩む】,"to be worried, to be troubled"
あゆむ【歩む】,"to walk, to go on foot"
うらむ【恨む】,"to curse, to feel bitter"
からむ【絡む】,"to entangle, to entwine"
にらむ【睨む】,"to glare at, to scowl at, to keep an eye on"
たるむ【弛む】,"to slacken, to loosen, to relax"
ゆるむ【緩む】,"to become loose, to slacken "
はいる【入る】,"to enter, to contain"
ほうる【放る】,to let go
かえる【帰る】,to go back
かえる【反る】,"to warp, to be warped, to curve"
かえる【返る】,"to return, to come back, to go back"
こおる【凍る】,"to freeze, to be frozen over, to congeal"
とおる【通る】,to go through
なおる【直る】,"to be fixed, to be repaired"
なおる【治る】,"to be cured, to heal"
いかる【怒る】,"to get angry, to be angry"
かかる【罹る】,to suffer from
さかる【盛る】,"to prosper, to flourish, to copulate (animals)"
しかる【叱る】,to scold
はかる【計る】,"to measure, to weigh, to survey"
はかる【量る】,"to measure, to weigh, to survey"
はかる【測る】,"to measure, to weigh, to survey"
はかる【諮る】,"to consult with, to confer"
はかる【図る】,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design"
ひかる【光る】,"to shine, to glitter"
あがる【上る】,to rise
とがる【尖る】,"to taper to a point, to become sharp, to be sour, to look displeased (vi)"
かぎる【限る】,"to restrict, to limit, to confine"
ちぎる【契る】,"to pledge, to promise, to swear "
にぎる【握る】,"to grasp, to hold a (thing) in one’s hand, grip"
おくる【送る】,to send
おくる【贈る】,"to send, to give to, to award to, to confer on"
つくる【作る】,to make
