Expression,Reading,Meaning
並べる,ならべる,to put (things) side by side; to line up
なる,なる,to become
何～,なん～,what sort of ~
二,に,two
にぎやか,にぎやか,"bustling, busy"
肉,にく,meat
西,にし,west
～日,～にち,"~ day of the month, for ~ days"
日曜日,にちようび,Sunday
荷物,にもつ,luggage; baggage
ニュース,ニュース,news
庭,にわ,garden
～人,～にん,counter for people
脱ぐ,ぬぐ,to take off (clothes)
温い,ぬるい,lukewarm
ネクタイ,ネクタイ,"tie, necktie"
猫,ねこ,cat
寝る,ねる,to sleep; to go to sleep; to go to bed
～年,～ねん,~ years
ノート,ノート,notebook
登る,のぼる,to climb
飲み物,のみもの,"drink, beverage"
飲む,のむ,to drink
乗る,のる,"to get on, to ride in, to board"
歯,は,tooth
パーティー,パーティー,a party
はい,はい,yes
～杯,～はい,counter for cupfuls
灰皿,はいざら,ashtray
入る,はいる,"to enter, to contain, to hold"
葉書,はがき,postcard
はく,はく,to put on (items below your waist)
箱,はこ,box
橋,はし,bridge
箸,はし,chopsticks
始まる,はじまる,(something) begins
初め; 始め,はじめ,"beginning, start"
初めて,はじめて,for the first time
走る,はしる,to run
バス,バス,bus; bath; bass
バター,バター,butter
二十歳,はたち,20 years old
働く,はたらく,to work
八,はち,eight
二十日,はつか,"twenty days, twentieth (day of the month)"
花,はな,flower
鼻,はな,nose
話,はなし,"talk (chat), story"
話す,はなす,to speak
母,はは,(my) mother
早い,はやい,early
速い,はやい,"fast, quick"
春,はる,spring
貼る,はる,to post; to paste; to attach
晴れ,はれ,clear (sunny) weather
晴れる,はれる,to be sunny
半,はん,half
晩,ばん,evening
～番,～ばん,~st; ~th best
パン,パン,bread
ハンカチ,ハンカチ,handkerchief
番号,ばんごう,"number, series of digits"
晩御飯,ばんごはん,"dinner, evening meal"
半分,はんぶん,half
東,ひがし,east
～匹,～ひき,counter for small animals
引く,ひく,"to pull, to draw; subtract"
弾く,ひく,to play (a string instrument or piano)
低い,ひくい,"short, low"
飛行機,ひこうき,airplane
左,ひだり,left hand side
人,ひと,"man, person"
一つ,ひとつ,one thing
一月,ひとつき,one month
一人,ひとり,one person
暇,ひま,"free time, leisure"
百,ひゃく,hundred
病院,びょういん,hospital
病気,びょうき,illness; sickness
平仮名,ひらがな,hiragana
昼,ひる,"noon, daytime"
昼御飯,ひるごはん,"lunch, midday meal"
広い,ひろい,spacious; wide; broad
フィルム,フィルム,film (roll of)
封筒,ふうとう,envelope
プール,プール,swimming pool
フォーク,フォーク,fork
吹く,ふく,"to blow (wind, etc.)"
服,ふく,clothes
二つ,ふたつ,two things
豚肉,ぶたにく,pork
二人,ふたり,two people
二日,ふつか,two days; second day of the month
太い,ふとい,"fat, thick"
冬,ふゆ,winter
降る,ふる,"to precipitate, to fall (rain, snow, etc.)"
古い,ふるい,"old (in reference to objects), aged, ancient"
～分,～ふん,~ minutes
文章,ぶんしょう,"sentence, text"
ページ,ページ,a page
下手,へた,"unskillful, poor"
ベッド,ベッド,bed
ペット,ペット,pet
部屋,へや,a room
辺,へん,"area, vicinity"
ペン,ペン,pen
勉強,べんきょう (する),study
便利,べんり,"convenient, handy"
帽子,ぼうし,hat; cap
ボールペン,ボールペン,ball-point pen
外,ほか,"other, the rest"
ポケット,ポケット,pocket
欲しい,ほしい,"to want, in need of"
ポスト,ポスト,"mailbox; post, position"
細い,ほそい,"thin, slender, fine"
ボタン,ボタン,button
ホテル,ホテル,hotel
本,ほん,book
～本,～ほん,counter for long cylindrical things
本棚,ほんだな,bookshelf
本当,ほんとう,"real, true"
～枚,～まい,counter for flat things
毎朝,まいあさ,every morning
毎月,まいげつ; まいつき,"every month, monthly"
毎週,まいしゅう,every week
毎日,まいにち,every day
毎年,まいねん; まいとし,"every year, yearly, annually"
毎晩,まいばん,every night
前,まえ,"before, in front"
～前,～まえ,in front of ~
曲る,まがる,"to turn, to bend"
まずい,まずい,"terrible (food), unappetizing, unpleasant (taste)"
また,また,and; furthermore
まだ,まだ,"yet, still, besides"
町,まち,town; city
待つ,まつ,to wait
まっすぐ,まっすぐ,"straight (ahead), direct"
マッチ,マッチ,match
窓,まど,window
丸い; 円い,まるい,"round, circular"
万,まん,ten thousand
万年筆,まんねんひつ,fountain pen
磨く,みがく,to brush (teeth); to polish
右,みぎ,right hand side
短い,みじかい,short (length)
水,みず,water
店,みせ,"store, shop"
見せる,みせる,"to show, to display"
道,みち,"road, street; way, directions"
三日,みっか,"three days, third day of the month"
三つ,みっつ,three things
緑,みどり,green
皆さん,みなさん,"all of you, everyone"
南,みなみ,South
耳,みみ,ear
見る,みる,"to see, to look"
みんな,みんな,"all, everyone, everybody"
