Orig,Reading,Verbs,Meaning
さそう【誘う】,さそう,誘う,"(1) to invite, to ask,(2) to tempt, to lure, to induce"
うたう【歌う】,うたう,歌う,to sing
したう【慕う】,したう,慕う,"to yearn for, to miss, to adore, to love dearly "
やとう【雇う】,やとう,雇う,"to employ, to hire"
かなう【叶う】,かなう,叶う,to come true (wish)
になう【担う】,になう,担う,"to carry on shoulder, to bear (burden), to shoulder (gun) "
うばう【奪う】,うばう,奪う,to snatch away
かまう【構う】,かまう,構う,"to mind, to care about, to be concerned about "
たまう【給う】,たまう,給う,"to receive, to grant"
おもう【思う】,おもう,思う,"to think, to feel"
かよう【通う】,かよう,通う,to commute
あらう【洗う】,あらう,洗う,to wash
きらう【嫌う】,きらう,嫌う,"to hate, to dislike, to loathe "
さらう【拐う】,さらう,拐う,"to carry off, to run away with, to kidnap, to abduct"
ならう【習う】,ならう,習う,to learn
ならう【倣う】,ならう,倣う,"to imitate, to follow, to emulate"
ねらう【狙う】,ねらう,狙う,to aim at
はらう【払う】,はらう,払う,to pay
もらう【貰う】,もらう,貰う,to receive
わらう【笑う】,わらう,笑う,"to laugh, to smile"
くるう【狂う】,くるう,狂う,"to go mad, to get out of order "
そろう【揃う】,そろう,揃う,"to become complete, to be equal, to be all present, to gather"
ひろう【拾う】,ひろう,拾う,"o pick up, to gather"
いわう【祝う】,いわう,祝う,"to congratulate, to celebrate "
あおぐ【扇ぐ】,あおぐ,扇ぐ,"to fan, to flap"
あおぐ【仰ぐ】,あおぐ,仰ぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take "
えがく【描く】,えがく,描く,"to draw, to paint, to sketch, to depict, to describe "
みがく【磨く】,みがく,磨く,"to brush teeth, to polish"
なげく【嘆く】,なげく,嘆く,"to sigh, to lament, to grieve "
うごく【動く】,うごく,動く,to move
ふさぐ【塞ぐ】,ふさぐ,塞ぐ,"to stop up, to close up, to block (up)"
きずく【築く】,きずく,築く,"to build, to pile up, to amass "
すすぐ【濯ぐ】,すすぐ,濯ぐ,"to rinse, to wash out"
