Orig,Verbs,Reading,Meaning
となえる【唱える】,唱える,となえる,"to recite, to chant, to call upon"
とらえる【捕える】,捕える,とらえる,"to seize, to grasp, to capture, to arrest"
ひかえる【控える】,控える,ひかえる,"to draw in, to hold back, to make notes, to be temperate in"
ふるえる【震える】,震える,ふるえる,"to shiver, to shake, to quake"
まじえる【交える】,交える,まじえる,"to mix, to converse with, to cross"
むかえる【迎える】,迎える,むかえる,to go out to meet
あずかる【預かる】,預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of"
たすかる【助かる】,助かる,たすかる,"to be saved, to be rescued, to survive, to be helpful"
もうかる【儲かる】,儲かる,もうかる,"to be profitable, to yield a profit"
いやがる【嫌がる】,嫌がる,いやがる,"to hate, to dislike"
ころがる【転がる】,転がる,ころがる,"to roll, to tumble"
つながる【繋がる】,繋がる,つながる,"to be tied together, to be connected, to be related to"
ひろがる【広がる】,広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around"
ふさがる【塞がる】,塞がる,ふさがる,"to be plugged up, to be shut up"
またがる【跨がる】,跨がる,またがる,"to extend over or into, to straddle"
むらがる【群がる】,群がる,むらがる,"to swarm, to gather"
あずける【預ける】,預ける,あずける,"to give into custody, to entrust, to deposit"
くだける【砕ける】,砕ける,くだける,"to break, to be broken, to be smashed, to collapse, to crumble"
さずける【授ける】,授ける,さずける,"to grant, to give, to confer, to award, to teach, to instruct"
たすける【助ける】,助ける,たすける,"to save, to rescue, to help, to assist, to support, to facilitate, to stimulate, to promote"
つづける【続ける】,続ける,つづける,"to continue, to keep up, to keep on"
とどける【届ける】,届ける,とどける,"to deliver, to forward, to send, to deliver, to forward, to send"
とろける【蕩ける】,蕩ける,とろける,"to melt (and become soft or liquid), to be enchanted (by), to be charmed"
なまける【怠ける】,怠ける,なまける,"to be idle; to slacken, to neglect (e.g. one's work)"
もうける【儲ける】,儲ける,もうける,"to profit, to get, to earn, to gain, to have"
もうける【設ける】,設ける,もうける,"to prepare, to provide, to set up; to establish; to organize"
かかげる【掲げる】,掲げる,かかげる,
ささげる【捧げる】,捧げる,ささげる,
つなげる【繋げる】,繋げる,つなげる,
ひろげる【広げる】,広げる,ひろげる,
あんじる【案じる】,案じる,あんじる,
えんじる【演じる】,演じる,えんじる,
おうじる【応じる】,応じる,おうじる,
かんじる【感じる】,感じる,かんじる,
きんじる【禁じる】,禁じる,きんじる,
しんじる【信じる】,信じる,しんじる,
つうじる【通じる】,通じる,つうじる,
てんじる【転じる】,転じる,てんじる,
ほうじる【報じる】,報じる,ほうじる,
めいじる【命じる】,命じる,めいじる,
ろんじる【論じる】,論じる,ろんじる,
あいする【愛する】,愛する,あいする,
がいする【害する】,害する,がいする,
かんする【関する】,関する,かんする,
こいする【恋する】,恋する,こいする,
さっする【察する】,察する,さっする,
せいする【制する】,制する,せいする,
せっする【接する】,接する,せっする,
そくする【即する】,即する,そくする,
ぞくする【属する】,属する,ぞくする,
たいする【対する】,対する,たいする,
たっする【達する】,達する,たっする,
だっする【脱する】,脱する,だっする,
てきする【適する】,適する,てきする,
てっする【徹する】,徹する,てっする,
ねっする【熱する】,熱する,ねっする,
ばっする【罰する】,罰する,ばっする,
はんする【反する】,反する,はんする,
めんする【面する】,面する,めんする,
ゆうする【有する】,有する,ゆうする,
ようする【要する】,要する,ようする,
えんずる【演ずる】,演ずる,えんずる,
おうずる【応ずる】,応ずる,おうずる,
かんずる【感ずる】,感ずる,かんずる,
きんずる【禁ずる】,禁ずる,きんずる,
しんずる【信ずる】,信ずる,しんずる,
ほうずる【報ずる】,報ずる,ほうずる,
めいずる【命ずる】,命ずる,めいずる,
ろんずる【論ずる】,論ずる,ろんずる,
かぶせる【被せる】,被せる,かぶせる,
まかせる【任せる】,任せる,まかせる,
へだたる【隔たる】,隔たる,へだたる,
あわてる【慌てる】,慌てる,あわてる,
おだてる【煽てる】,煽てる,おだてる,
そだてる【育てる】,育てる,そだてる,
へだてる【隔てる】,隔てる,へだてる,
かさなる【重なる】,重なる,かさなる,
ことなる【異なる】,異なる,ことなる,
つらなる【連なる】,連なる,つらなる,
かさねる【重ねる】,重ねる,かさねる,
たずねる【訪ねる】,訪ねる,たずねる,
たずねる【尋ねる】,尋ねる,たずねる,
つらねる【連ねる】,連ねる,つらねる,
しなびる【萎びる】,萎びる,しなびる,
ほろびる【滅びる】,滅びる,ほろびる,
くらべる【比べる】,比べる,くらべる,
しらべる【調べる】,調べる,しらべる,
ならべる【並べる】,並べる,ならべる,
あつまる【集まる】,集まる,あつまる,
うずまる【埋まる】,埋まる,うずまる,
おさまる【収まる】,収まる,おさまる,
おさまる【納まる】,納まる,おさまる,
おさまる【治まる】,治まる,おさまる,
かたまる【固まる】,固まる,かたまる,
さだまる【定まる】,定まる,さだまる,
しずまる【静まる】,静まる,しずまる,
たかまる【高まる】,高まる,たかまる,
ちぢまる【縮まる】,縮まる,ちぢまる,
つかまる【捕まる】,捕まる,つかまる,
つとまる【勤まる】,勤まる,つとまる,
つよまる【強まる】,強まる,つよまる,
とどまる【留まる】,留まる,とどまる,
とどまる【止まる】,止まる,とどまる,
はさまる【挟まる】,挟まる,はさまる,
はじまる【始まる】,始まる,はじまる,
ひろまる【広まる】,広まる,ひろまる,
ふかまる【深まる】,深まる,ふかまる,
まとまる【纏まる】,纏まる,まとまる,
よわまる【弱まる】,弱まる,よわまる,
あつめる【集める】,集める,あつめる,
いじめる【苛める】,苛める,いじめる,
いためる【痛める】,痛める,いためる,
いためる【炒める】,炒める,いためる,
うすめる【薄める】,薄める,うすめる,
おさめる【収める】,収める,おさめる,
おさめる【納める】,納める,おさめる,
おさめる【治める】,治める,おさめる,
かためる【固める】,固める,かためる,
さだめる【定める】,定める,さだめる,
しずめる【沈める】,沈める,しずめる,
すすめる【進める】,進める,すすめる,
すすめる【勧める】,勧める,すすめる,
たかめる【高める】,高める,たかめる,
ちぢめる【縮める】,縮める,ちぢめる,
つとめる【勤める】,勤める,つとめる,
つとめる【務める】,務める,つとめる,
つとめる【努める】,努める,つとめる,
つよめる【強める】,強める,つよめる,
とがめる【咎める】,咎める,とがめる,
とどめる【留める】,留める,とどめる,
とどめる【止める】,止める,とどめる,
はじめる【始める】,始める,はじめる,
ながめる【眺める】,眺める,ながめる,
ひろめる【広める】,広める,ひろめる,
ふかめる【深める】,深める,ふかめる,
ふくめる【含める】,含める,ふくめる,
まとめる【纏める】,纏める,まとめる,
まるめる【丸める】,丸める,まるめる,
みとめる【認める】,認める,みとめる,
もとめる【求める】,求める,もとめる,
やすめる【休める】,休める,やすめる,
ゆるめる【緩める】,緩める,ゆるめる,
よわめる【弱める】,弱める,よわめる,
はやめる【早める】,早める,はやめる,
あきれる【呆れる】,呆れる,あきれる,
あばれる【暴れる】,暴れる,あばれる,
あふれる【溢れる】,溢れる,あふれる,
おくれる【遅れる】,遅れる,おくれる,
おそれる【恐れる】,恐れる,おそれる,
おぼれる【溺れる】,溺れる,おぼれる,
かくれる【隠れる】,隠れる,かくれる,
くずれる【崩れる】,崩れる,くずれる,
けがれる【汚れる】,汚れる,けがれる,
こじれる【拗れる】,拗れる,こじれる,
こぼれる【零れる】,零れる,こぼれる,
こわれる【壊れる】,壊れる,こわれる,
しびれる【痺れる】,痺れる,しびれる,
すぐれる【優れる】,優れる,すぐれる,
すたれる【廃れる】,廃れる,すたれる,
たおれる【倒れる】,倒れる,たおれる,
ちぢれる【縮れる】,縮れる,ちぢれる,
つかれる【疲れる】,疲れる,つかれる,
つぶれる【潰れる】,潰れる,つぶれる,
ながれる【流れる】,流れる,ながれる,
のがれる【逃れる】,逃れる,のがれる,
はずれる【外れる】,外れる,はずれる,
はなれる【離れる】,離れる,はなれる,
はなれる【放れる】,放れる,はなれる,
ふくれる【膨れる】,膨れる,ふくれる,
まぎれる【紛れる】,紛れる,まぎれる,
みだれる【乱れる】,乱れる,みだれる,
もたれる【凭れる】,凭れる,もたれる,
やぶれる【破れる】,破れる,やぶれる,
よごれる【汚れる】,汚れる,よごれる,
わかれる【別れる】,別れる,わかれる,
わすれる【忘れる】,忘れる,わすれる,
おそわる【教わる】,教わる,おそわる,
かかわる【係わる】,係わる,かかわる,
くわわる【加わる】 ,加わる,くわわる,
そなわる【備わる】,備わる,そなわる,
つたわる【伝わる】,伝わる,つたわる,
まじわる【交わる】,交わる,まじわる,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
おどろかす【驚かす】,驚かす,おどろかす,"to surprise, to frighten, to create a stir"
あつらえる【誂える】,誂える,あつらえる,"to give an order, to place an order"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
であう【出会う】,出会う,であう,"to meet by chance, to come across, to happen to encounter"
であう【出合う】,出合う,であう,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date"
にあう【似合う】,似合う,にあう,"to suit, to match, to become, to be like"
せおう【背負う】,背負う,せおう,"to be burdened with, to carry on back or shoulder"
しまう【仕舞う】,仕舞う,しまう,"to finish, to close, to do something completely, to put away, to put an end to"
みまう【見舞う】,見舞う,みまう,"to ask after (health), to visit"
もがく【藻掻く】,藻掻く,もがく,"to struggle, to wriggle, to be impatient"
きづく【気付く】,気付く,きづく,"to notice, to recognize, to become aware of"
めざす【目指す】,目指す,めざす,"to aim at, to have an eye on"
めだつ【目立つ】,目立つ,めだつ,"to be conspicuous, to stand out"
しきる【仕切る】,仕切る,しきる,"to partition, to divide, to mark off, to settle accounts, to toe the mark"
できる【出切る】,出切る,できる,"to be out of, to have no more at hand"
くぎる【区切る】,区切る,くぎる,"to punctuate, to cut off, to mark off, to stop, to put an end to "
しける【湿気る】,湿気る,しける,"to be damp, to be moist"
ねだる【強請る】,強請る,ねだる,"te tease, to coax, to solicit, to demand"
どなる【怒鳴る】,怒鳴る,どなる,"to shout, to yell"
まねる【真似る】,真似る,まねる,"to mimic, to imitate"
いばる【威張る】,威張る,いばる,"to be proud, to swagger"
はやる【流行る】,流行る,はやる,"to flourish, to thrive, to be popular, to come into fashion"
つきあう【付合う】,付合う,つきあう,"to associate with, to keep company with, to get on with"
からかう【揶揄う】,揶揄う,からかう,"to ridicule, to tease, to banter with, to make fun of"
まちがう【間違う】,間違う,まちがう,"to make a mistake, to be incorrect, to be mistaken"
てつだう【手伝う】,手伝う,てつだう,to assist
ふるまう【振舞う】,振舞う,ふるまう,"to behave, to conduct oneself, to entertain (vt)"
にかよう【似通う】,似通う,にかよう,to resemble closely
しはらう【支払う】,支払う,しはらう,to pay
ためらう【躊躇う】,躊躇う,ためらう,to hesitate
おちつく【落着く】,落着く,おちつく,"to calm down, to settle down"
きずつく【傷付く】,傷付く,きずつく,"to be hurt, to be wounded, to get injured"
かたづく【片付く】,片付く,かたづく,"to put in order, to dispose of, to solve"
ちかづく【近付く】,近付く,ちかづく,"to approach, to get near, to get acquainted with, to get closer"
ながびく【長引く】,長引く,ながびく,"to be prolonged, to drag on"
ばらまく【散蒔く】,散蒔く,ばらまく,"to disseminate, yo scatter, to give money freely"
みなおす【見直す】,見直す,みなおす,"to look again, to get a better opinion of"
みのがす【見逃す】,見逃す,みのがす,"to miss, to overlook, to leave at large"
ゆびさす【指差す】,指差す,ゆびさす,to point at
みわたす【見渡す】,見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of "
ひきだす【引出す】,引出す,ひきだす,"to pull out, to take out, to draw out, to withdraw"
やくだつ【役立つ】,役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose"
ほほえむ【微笑む】,微笑む,ほほえむ,to smile
うらぎる【裏切る】,裏切る,うらぎる,"to betray, to turn traitor to, to double-cross"
よこぎる【横切る】,横切る,よこぎる,"to cross (e.g. arms), to traverse"
みおくる【見送る】,見送る,みおくる,"(1) to see off, to farewell,(2) to escort,(3) to let pass"
きかざる【着飾る】,着飾る,きかざる,to dress up
かさばる【嵩張る】,嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous "
かたよる【片寄る】,片寄る,かたよる,"to be one-sided, to incline, to be partial"
ちかよる【近寄る】,近寄る,ちかよる,"to approach, to draw near"
しゃれる【洒落る】,洒落る,しゃれる,"to joke, to play on words, to dress stylishly"
ひきかえす【引返す】,引返す,ひきかえす,"to repeat, to send back, to bring back "
うらがえす【裏返す】,裏返す,うらがえす,"to turn inside out, to turn (something) over"
こころえる【心得る】,心得る,こころえる,"to be informed, to have thorough knowledge"
ひきうける【引受る】,引受る,ひきうける,"to undertake, to take up, to take over"
ものがたる【物語る】,物語る,ものがたる,"to tell, to indicate"
さかのぼる【逆上る】,逆上る,さかのぼる,"to go back, to go upstream, to make retroactive"
うわまわる【上回る】,上回る,うわまわる,to exceed
みおとす【見落とす】,見落とす,みおとす,"to overlook, to fail to notice"
けとばす【蹴飛ばす】,蹴飛ばす,けとばす,"to kick away, to kick off, to kick (someone), to refuse, to reject"
みおろす【見下ろす】,見下ろす,みおろす,"to overlook, to command a view of, to look down on something"
とだえる【途絶える】,途絶える,とだえる,"to stop, to cease, to come to an end"
みつかる【見付かる】,見付かる,みつかる,"to be found, to be discovered"
しあがる【仕上がる】,仕上がる,しあがる,to be finished
ぶつける【打付ける】,打付ける,ぶつける,"to knock, to run into, to nail on, to strike hard, to hit and attack"
しかける【仕掛ける】,仕掛ける,しかける,"to commence, to lay (mines), to set (traps), to wage (war), to challenge"
しつける (仕付ける),,,
てがける (手掛ける),,,
でかける (出掛ける),,,
なづける (名付ける),,,
みかける (見掛ける),,,
みつける (見付ける),,,
しあげる (仕上げる),,,
したてる (仕立てる),,,
めざめる (目覚める),,,
かぶれる (気触れる),,,
しいれる (仕入れる),,,
とぎれる (跡切れる),,,
みなれる (見慣れる),,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
つきあう【付き合う】,付き合う,つきあう,"to associate with, to keep company with, to get on with"
つりあう【釣り合う】,釣り合う,つりあう,"to balance, to be in harmony, to suit "
まにあう【間に合う】,間に合う,まにあう,to be in time for
ひっかく【引っ掻く】,引っ掻く,ひっかく,to scratch
おいつく【追い付く】,追い付く,おいつく,"to overtake, to catchup (with)"
うけつぐ【受け継ぐ】,受け継ぐ,うけつぐ,"to inherit, to succeed, to take over"
とりつぐ【取り次ぐ】,取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)"
さしひく【差し引く】,差し引く,さしひく,to deduct
とりまく【取り巻く】,取り巻く,とりまく,"to surround, to circle, to enclose"
いいだす【言い出す】,言い出す,いいだす,"to start talking to speak, to tell, to propose, to suggest, to break the ice "
うりだす【売り出す】,売り出す,うりだす,"to put on sale, to market, to become popular"
おいだす (追い出す),,,
さしだす (差し出す),,,
とびだす (飛び出す),,,
とりだす (取り出す),,,
なげだす (投げ出す),,,
にげだす (逃げ出す) ,,,
ぬけだす (抜け出す),,,
ふりだす (降り出す),,,
よびだす (呼び出す),,,
うちけす (打ち消す),,,
とりけす (取り消す),,,
ひっこす (引っ越す),,,
おいこす (追い越す),,,
もてなす (持て成す),,,
なりたつ (成り立つ),,,
うけもつ (受け持つ),,,
うちこむ (打ち込む),,,
うめこむ (埋め込む),,,
おいこむ (追い込む),,,
おしこむ (押し込む),,,
おちこむ (落ち込む),,,
くみこむ (組み込む),,,
つっこむ (突っ込む),,,
とけこむ (溶け込む),,,
とびこむ (飛び込む),,,
とりくむ (取り組む) ,,,
のみこむ (飲み込む),,,
のりこむ (乗り込む),,,
ひっこむ (引っ込む),,,
わりこむ (割り込む),,,
きにいる (気に入る),,,
うちきる (打ち切る),,,
かみきる (噛み切る),,,
しめきる (締め切る),,,
はりきる (張り切る),,,
もうしでる (申し出る),,,
うけとる (受け取る),,,
かきとる (書き取る),,,
のっとる (乗っ取る),,,
ひきとる (引き取る),,,
つっぱる (突っ張る),,,
ひっぱる (引っ張る),,,
たちよる (立ち寄る),,,
はなしあう (話し合う),,,
くいちがう (食い違う),,,
とりのぞく (取り除く),,,
おもいつく (思い付く) ,,,
たどりつく (辿り着く),,,
むすびつく (結び付く),,,
おりかえす (折り返す),,,
くりかえす (繰り返す),,,
てりかえす (照り返す) ,,,
やりとおす (遣り通す),,,
おもいだす (思い出す),,,
ほうりだす (放り出す),,,
かきまわす (掻き回す),,,
とりもどす (取り戻す),,,
はらいこむ (払い込む),,,
ほうりこむ (放り込む),,,
もうしこむ (申し込む),,,
まちのぞむ (待ち望む),,,
おそれいる (恐れ入る),,,
すきとおる (透き通る),,,
